Date,DRATE
1990Q1,35.03
1990Q2,32.17
1990Q3,28.41
1990Q4,26.00
1991Q1,21.24
1991Q2,17.80
1991Q3,16.31
1991Q4,16.51
1992Q1,13.99
1992Q2,13.19
1992Q3,17.00
1992Q4,19.34
1993Q1,19.34
1993Q2,17.90
1993Q3,15.47
1993Q4,14.04
1994Q1,10.40
1994Q2,16.98
1994Q3,16.64
1994Q4,16.10
1995Q1,35.83
1995Q2,48.50
1995Q3,33.96
1995Q4,41.00
1996Q1,33.36
1996Q2,25.68
1996Q3,23.41
1996Q4,23.17
1997Q1,19.32
1997Q2,16.70
1997Q3,14.74
1997Q4,14.70
1998Q1,14.42
1998Q2,13.79
1998Q3,15.86
1998Q4,17.75
1999Q1,15.38
1999Q2,10.66
1999Q3,10.53
1999Q4,9.83
2000Q1,8.77
2000Q2,7.81
2000Q3,7.75
2000Q4,8.69
2001Q1,8.78
2001Q2,6.87
2001Q3,5.05
2001Q4,4.24
2002Q1,3.90
2002Q2,3.66
2002Q3,3.71
2002Q4,3.76
2003Q1,3.92
2003Q2,3.37
2003Q3,2.66
2003Q4,2.40
2004Q1,2.35
2004Q2,2.63
2004Q3,2.80
2004Q4,3.00
2005Q1,3.26
2005Q2,3.56
2005Q3,3.56
2005Q4,3.45
2006Q1,3.32
2006Q2,3.29
2006Q3,3.29
2006Q4,3.29
2007Q1,3.29
2007Q2,3.29
2007Q3,3.18
2007Q4,3.06
2008Q1,3.05
2008Q2,3.04
2008Q3,3.04
2008Q4,3.04
2009Q1,2.90
2009Q2,2.25
2009Q3,1.59
2009Q4,1.30
2010Q1,1.30
2010Q2,1.30
2010Q3,1.24
2010Q4,1.01
2011Q1,0.95
2011Q2,0.95
2011Q3,0.95
2011Q4,0.97
2012Q1,0.96
2012Q2,0.98
2012Q3,0.97
2012Q4,1.42
2013Q1,1.41
2013Q2,1.38
2013Q3,1.36
2013Q4,1.18
2014Q1,1.13
2014Q2,1.04
2014Q3,0.59
2014Q4,0.59
2015Q1,0.58
2015Q2,0.55
2015Q3,0.59
2015Q4,0.63
2016Q1,0.85
2016Q2,1.09
2016Q3,1.34
