Dates,MX_MANUFP
1990Q1,62.81
1990Q2,62.96
1990Q3,62.72
1990Q4,66.24
1991Q1,64.65
1991Q2,66.74
1991Q3,64.71
1991Q4,68.55
1992Q1,67.59
1992Q2,67.37
1992Q3,66.89
1992Q4,69.87
1993Q1,66.62
1993Q2,66.97
1993Q3,65.29
1993Q4,67.42
1994Q1,66.64
1994Q2,70.57
1994Q3,69.35
1994Q4,70.54
1995Q1,67.88
1995Q2,64.02
1995Q3,64.11
1995Q4,67.77
1996Q1,71.14
1996Q2,72.03
1996Q3,72.90
1996Q4,76.60
1997Q1,75.23
1997Q2,81.28
1997Q3,80.69
1997Q4,83.88
1998Q1,83.99
1998Q2,86.43
1998Q3,86.88
1998Q4,87.34
1999Q1,85.43
1999Q2,90.69
1999Q3,91.52
1999Q4,91.51
2000Q1,93.64
2000Q2,97.16
2000Q3,97.96
2000Q4,95.16
2001Q1,92.29
2001Q2,93.81
2001Q3,92.48
2001Q4,90.69
2002Q1,87.35
2002Q2,95.76
2002Q3,92.65
2002Q4,91.10
2003Q1,89.37
2003Q2,90.39
2003Q3,90.40
2003Q4,91.70
2004Q1,92.51
2004Q2,92.78
2004Q3,94.16
2004Q4,95.32
2005Q1,92.88
2005Q2,97.09
2005Q3,96.15
2005Q4,98.87
2006Q1,99.38
2006Q2,101.59
2006Q3,100.83
2006Q4,100.53
2007Q1,100.47
2007Q2,102.35
2007Q3,102.04
2007Q4,101.32
2008Q1,100.38
2008Q2,103.91
2008Q3,100.76
2008Q4,97.03
2009Q1,89.04
2009Q2,89.41
2009Q3,93.00
2009Q4,97.04
2010Q1,95.83
2010Q2,100.48
2010Q3,101.36
2010Q4,102.34
2011Q1,101.63
2011Q2,104.47
2011Q3,105.60
2011Q4,106.65
2012Q1,107.81
2012Q2,109.82
2012Q3,109.14
2012Q4,108.81
2013Q1,106.29
2013Q2,111.69
2013Q3,111.70
2013Q4,111.18
2014Q1,111.65
2014Q2,115.13
2014Q3,115.79
2014Q4,116.51
2015Q1,115.15
2015Q2,118.57
2015Q3,119.28
2015Q4,118.83
2016Q1,116.25
2016Q2,120.53
