Date,RHP
1991Q1,100.00 
1991Q2,100.52 
1991Q3,100.79 
1991Q4,101.47 
1992Q1,102.27 
1992Q2,102.71 
1992Q3,103.71 
1992Q4,104.26 
1993Q1,103.88 
1993Q2,105.51 
1993Q3,106.47 
1993Q4,107.09 
1994Q1,107.66 
1994Q2,109.25 
1994Q3,110.13 
1994Q4,110.17 
1995Q1,110.51 
1995Q2,111.85 
1995Q3,113.08 
1995Q4,113.10 
1996Q1,113.77 
1996Q2,115.40 
1996Q3,116.34 
1996Q4,116.27 
1997Q1,116.70 
1997Q2,118.60 
1997Q3,119.60 
1997Q4,120.11 
1998Q1,121.32 
1998Q2,124.02 
1998Q3,125.74 
1998Q4,126.94 
1999Q1,128.56 
1999Q2,131.54 
1999Q3,133.66 
1999Q4,134.81 
2000Q1,136.88 
2000Q2,140.34 
2000Q3,142.71 
2000Q4,144.24 
2001Q1,146.54 
2001Q2,150.14 
2001Q3,152.66 
2001Q4,153.96 
2002Q1,156.09 
2002Q2,160.35 
2002Q3,163.73 
2002Q4,165.78 
2003Q1,168.14 
2003Q2,172.43 
2003Q3,176.17 
2003Q4,178.77 
2004Q1,182.14 
2004Q2,188.53 
2004Q3,193.76 
2004Q4,196.90 
2005Q1,201.04 
2005Q2,208.60 
2005Q3,214.36 
2005Q4,216.94 
2006Q1,219.40 
2006Q2,223.67 
2006Q3,224.40 
2006Q4,223.40 
2007Q1,223.83 
2007Q2,226.37 
2007Q3,223.75 
2007Q4,217.75 
2008Q1,211.51 
2008Q2,208.85 
2008Q3,203.91 
2008Q4,195.90 
2009Q1,193.67 
2009Q2,194.24 
2009Q3,193.45 
2009Q4,191.22 
2010Q1,187.75 
2010Q2,190.52 
2010Q3,187.51 
2010Q4,183.49 
2011Q1,177.77 
2011Q2,180.21 
2011Q3,181.25 
2011Q4,179.27 
2012Q1,178.52 
2012Q2,185.77 
2012Q3,188.09 
2012Q4,188.47 
2013Q1,190.67 
2013Q2,199.25 
2013Q3,202.90 
2013Q4,202.34 
2014Q1,203.36 
2014Q2,209.96 
2014Q3,212.38 
2014Q4,212.31 
2015Q1,213.93 
2015Q2,221.73 
2015Q3,224.54 
2015Q4,224.86 
2016Q1,226.70 
2016Q2,234.14 
,
2016Q4,
2017Q1,
