Date,TBRATE
1990Q1,44.38
1990Q2,37.98
1990Q3,30.17
1990Q4,26.50
1991Q1,22.94
1991Q2,19.54
1991Q3,17.58
1991Q4,17.05
1992Q1,13.90
1992Q2,13.69
1992Q3,16.75
1992Q4,18.14
1993Q1,17.31
1993Q2,15.57
1993Q3,13.75
1993Q4,13.10
1994Q1,9.90
1994Q2,16.11
1994Q3,15.10
1994Q4,15.28
1995Q1,49.49
1995Q2,60.39
1995Q3,36.51
1995Q4,47.36
1996Q1,40.34
1996Q2,30.49
1996Q3,27.22
1996Q4,27.52
1997Q1,21.67
1997Q2,19.98
1997Q3,18.58
1997Q4,18.98
1998Q1,18.85
1998Q2,18.81
1998Q3,27.84
1998Q4,33.55
1999Q1,28.12
1999Q2,20.42
1999Q3,20.01
1999Q4,17.09
2000Q1,15.22
2000Q2,14.25
2000Q3,14.67
2000Q4,16.83
2001Q1,17.01
2001Q2,12.11
2001Q3,8.74
2001Q4,7.36
2002Q1,7.37
2002Q2,6.56
2002Q3,7.13
2002Q4,7.28
2003Q1,8.83
2003Q2,6.10
2003Q3,4.58
2003Q4,5.39
2004Q1,5.60
2004Q2,6.38
2004Q3,7.13
2004Q4,8.15
2005Q1,9.05
2005Q2,9.67
2005Q3,9.47
2005Q4,8.61
2006Q1,7.62
2006Q2,7.07
2006Q3,7.04
2006Q4,7.04
2007Q1,7.04
2007Q2,7.15
2007Q3,7.20
2007Q4,7.36
2008Q1,7.43
2008Q2,7.48
2008Q3,8.09
2008Q4,7.73
2009Q1,7.25
2009Q2,5.44
2009Q3,4.52
2009Q4,4.51
2010Q1,4.48
2010Q2,4.52
2010Q3,4.52
2010Q4,4.10
2011Q1,4.15
2011Q2,4.32
2011Q3,4.14
2011Q4,4.35
2012Q1,4.28
2012Q2,4.34
2012Q3,4.15
2012Q4,4.18
2013Q1,4.11
2013Q2,3.77
2013Q3,3.78
2013Q4,3.36
2014Q1,3.16
2014Q2,3.18
2014Q3,2.81
2014Q4,2.85
2015Q1,2.84
2015Q2,2.97
2015Q3,3.04
2015Q4,3.06
2016Q1,3.41
2016Q2,3.79
2016Q3,4.24
