DATE,A023RC1Q027SBEA
1947-01-01,241.3
1947-04-01,244.6
1947-07-01,249.1
1947-10-01,257.7
1948-01-01,266.9
1948-04-01,275.5
1948-07-01,280.8
1948-10-01,283
1949-01-01,275.9
1949-04-01,272.4
1949-07-01,272.5
1949-10-01,268.7
1950-01-01,279.1
1950-04-01,291.6
1950-07-01,309.5
1950-10-01,321.3
1951-01-01,334.5
1951-04-01,342.9
1951-07-01,349.2
1951-10-01,356.4
1952-01-01,358.5
1952-04-01,361.1
1952-07-01,368.4
1952-10-01,380.6
1953-01-01,387.5
1953-04-01,391.1
1953-07-01,390
1953-10-01,382.9
1954-01-01,385.2
1954-04-01,386.2
1954-07-01,390.2
1954-10-01,399.8
1955-01-01,412.8
1955-04-01,422.9
1955-07-01,431.4
1955-10-01,439
1956-01-01,444.2
1956-04-01,451.4
1956-07-01,457.5
1956-10-01,466.9
1957-01-01,474.9
1957-04-01,478.1
1957-07-01,482.9
1957-10-01,477.3
1958-01-01,472.2
1958-04-01,475
1958-07-01,488.2
1958-10-01,500.9
1959-01-01,513.6
1959-04-01,528.3
1959-07-01,526.2
1959-10-01,532.1
1960-01-01,546
1960-04-01,547.3
1960-07-01,549.4
1960-10-01,548.3
1961-01-01,550.9
1961-04-01,561.3
1961-07-01,571.8
1961-10-01,587.2
1962-01-01,597.3
1962-04-01,605.3
1962-07-01,612.7
1962-10-01,621.8
1963-01-01,629.5
1963-04-01,639.6
1963-07-01,649
1963-10-01,660.2
1964-01-01,673.6
1964-04-01,684.9
1964-07-01,697.5
1964-10-01,706.9
1965-01-01,726.9
1965-04-01,739.7
1965-07-01,752.6
1965-10-01,773.7
1966-01-01,795.8
1966-04-01,807.7
1966-07-01,821
1966-10-01,835.5
1967-01-01,843.8
1967-04-01,852.5
1967-07-01,870.2
1967-10-01,888.4
1968-01-01,911.9
1968-04-01,935.6
1968-07-01,957.3
1968-10-01,976.7
1969-01-01,996.2
1969-04-01,1015.6
1969-07-01,1037.1
1969-10-01,1048.6
1970-01-01,1056.1
1970-04-01,1071
1970-07-01,1088.6
1970-10-01,1092
1971-01-01,1132
1971-04-01,1154.8
1971-07-01,1175.8
1971-10-01,1201
1972-01-01,1237.4
1972-04-01,1260.7
1972-07-01,1293.8
1972-10-01,1343.7
1973-01-01,1384.9
1973-04-01,1414.5
1973-07-01,1448.3
1973-10-01,1492.6
1974-01-01,1511.8
1974-04-01,1540.5
1974-07-01,1575.3
1974-10-01,1600.2
1975-01-01,1615.7
1975-04-01,1653.8
1975-07-01,1718.1
1975-10-01,1767.3
1976-01-01,1822.1
1976-04-01,1852.7
1976-07-01,1890.7
1976-10-01,1930.4
1977-01-01,1981.7
1977-04-01,2060.1
1977-07-01,2125
1977-10-01,2181.2
1978-01-01,2230.3
1978-04-01,2334
1978-07-01,2390.3
1978-10-01,2465.4
1979-01-01,2533.3
1979-04-01,2584
1979-07-01,2648.1
1979-10-01,2711.7
1980-01-01,2770.8
1980-04-01,2776.5
1980-07-01,2858.8
1980-10-01,3004.9
1981-01-01,3105.9
1981-04-01,3162.5
1981-07-01,3266
1981-10-01,3294.3
1982-01-01,3311.5
1982-04-01,3369.1
1982-07-01,3398
1982-10-01,3420.4
1983-01-01,3485.7
1983-04-01,3570.9
1983-07-01,3657.9
1983-10-01,3769.7
1984-01-01,3911.4
1984-04-01,4007.6
1984-07-01,4083.6
1984-10-01,4150.9
1985-01-01,4227.5
1985-04-01,4286.3
1985-07-01,4358.3
1985-10-01,4411.2
1986-01-01,4474
1986-04-01,4497
1986-07-01,4547.7
1986-10-01,4602.7
1987-01-01,4685
1987-04-01,4794.7
1987-07-01,4901
1987-10-01,5008
1988-01-01,5113.2
1988-04-01,5220.1
1988-07-01,5325.4
1988-10-01,5444.2
1989-01-01,5539.6
1989-04-01,5585
1989-07-01,5649.3
1989-10-01,5699.3
1990-01-01,5820.5
1990-04-01,5915.5
1990-07-01,5958
1990-10-01,5997.7
1991-01-01,6038.1
1991-04-01,6084.1
1991-07-01,6141.3
1991-10-01,6205.4
1992-01-01,6339.8
1992-04-01,6431.2
1992-07-01,6479.2
1992-10-01,6587.7
1993-01-01,6605.7
1993-04-01,6720.4
1993-07-01,6777.8
1993-10-01,6929.6
1994-01-01,7007.3
1994-04-01,7148.2
1994-07-01,7252.6
1994-10-01,7375.1
1995-01-01,7461.6
1995-04-01,7540.2
1995-07-01,7654.6
1995-10-01,7752.7
1996-01-01,7885.8
1996-04-01,8025.9
1996-07-01,8120.9
1996-10-01,8269
1997-01-01,8406.7
1997-04-01,8535.9
1997-07-01,8701.4
1997-10-01,8837.3
1998-01-01,8955.1
1998-04-01,9099.2
1998-07-01,9249.5
1998-10-01,9366.4
1999-01-01,9538.8
1999-04-01,9635.2
1999-07-01,9756.3
1999-10-01,9970.8
2000-01-01,10247.4
2000-04-01,10365.2
2000-07-01,10505
2000-10-01,10567.4
2001-01-01,10742.3
2001-04-01,10807.5
2001-07-01,10781.5
2001-10-01,10823.2
2002-01-01,10957.8
2002-04-01,11047
2002-07-01,11124.7
2002-10-01,11266.1
2003-01-01,11339.2
2003-04-01,11494.5
2003-07-01,11668
2003-10-01,11864
2004-01-01,12075.6
2004-04-01,12279.7
2004-07-01,12505.4
2004-10-01,12630
2005-01-01,12903.7
2005-04-01,13077.9
2005-07-01,13325.3
2005-10-01,13580.2
2006-01-01,13946.4
2006-04-01,14074.1
2006-07-01,14214.3
2006-10-01,14328.3
2007-01-01,14453.2
2007-04-01,14576.5
2007-07-01,14604.5
2007-10-01,14708.6
2008-01-01,14802.2
2008-04-01,14867.9
2008-07-01,14920.9
2008-10-01,14573.8
2009-01-01,14395
2009-04-01,14368.9
2009-07-01,14489.4
2009-10-01,14724.5
2010-01-01,14826.8
2010-04-01,14995.7
2010-07-01,15251.3
2010-10-01,15410.7
2011-01-01,15510.6
2011-04-01,15698.8
2011-07-01,15917.3
2011-10-01,16084.9
2012-01-01,16443.8
2012-04-01,16521.6
2012-07-01,16608.8
2012-10-01,16810.2
2013-01-01,16862.6
2013-04-01,16997.3
2013-07-01,17120.1
2013-10-01,17315
2014-01-01,17477.1
2014-04-01,17791
2014-07-01,18078.2
2014-10-01,18250.3
2015-01-01,18301.6
2015-04-01,18414.9
2015-07-01,18568.6
2015-10-01,18699
2016-01-01,18718.5
2016-04-01,18850.5
